first_name,last_name,category_id
Sheryl,Sandberg,1
Marissa,Mayer,1
Meg,Whitman,1
Sun,Yafang,1
Susan,Wojcicki,1
Elizabeth,Blackburn,1
Daphne,Koller,1
Vandana,Shiva,2
Camila,Batmanghelidjh,2
Reshma,Saujan,2
Melinda,Gates,2
Malala,Yousafzai,3
Lubna,Hussein,3
Tawakkol,Karman,3
Somaly,Mam,3
Regina,Benjamin,4
Margaret,Chan,4
Françoise,Barré-Sinoussi,4
Elizabeth,Blackburn,4
Michelle,Bachelet,5
Angela,Merkel,5
Ngozi,Okonjo-Iweala,5
Hilary,Clinton,5
Oprah,Winfrey,6
Amy,Pascal,6
Ursula,Burn,6
Virginia,Rometty,6
Michelle,Obama,6
Arianna,Huffington,7
Tina,Brown,7
Marjorie,Scardino,7
Greta,Van,7
Anna,Wintour,7
Ann,Curry,7
Helen,Boaden,7
Jill,Abramson,7